System	Family	ID	True [eV]	Prediction [eV]	Error [eV]	Abs. error [eV]
C2H4O2-Cu4    	3316	radicals	-6.324566350295754	-6.263408485700438	0.061157864595315914	0.061157864595315914
C2H3-Ru4      	3661	radicals	-39.911403959969675	-39.75180591066612	0.15959804930355403	0.15959804930355403
C2H5-Pd2      	3847	radicals	-15.196202379486863	-15.366919897130174	-0.1707175176433111	0.1707175176433111
N1-Ir1        	4043	radicals	-26.8704757701783	-27.219790767020402	-0.34931499684210365	0.34931499684210365
C1H2-Pt4      	3745	radicals	-46.799606204328256	-46.90134090026186	-0.10173469593360096	0.10173469593360096
C2H4-Os4      	3120	radicals	-6.916806996195419	-7.270388421922689	-0.35358142572727047	0.35358142572727047
C2H4O2-Au6    	3025	radicals	-47.427714983453825	-47.42443230312824	0.0032826803255829873	0.0032826803255829873
C2H3O1-Rh4    	3526	radicals	-38.910678626097706	-39.15919929559993	-0.24852066950222707	0.24852066950222707
C2H6O1-Cu4    	3338	radicals	-40.30362668183125	-40.41809615828788	-0.11446947645663386	0.11446947645663386
H1-Au4        	3101	radicals	-28.405561405066365	-28.891725710585717	-0.4861643055193525	0.4861643055193525
C2H3O2-Ni5    	4396	radicals	-40.74734063444134	-40.84832446260225	-0.10098382816090634	0.10098382816090634
C2H3-Fe8      	4158	radicals	-32.87620554638971	-32.899886275389065	-0.02368072899935214	0.02368072899935214
C2H2O1-Cd3    	3259	radicals	-47.17463626262975	-47.28319186664976	-0.10855560402001174	0.10855560402001174
H1O1-Os3      	3199	radicals	-36.32898305610422	-36.29929380747001	0.029689248634213072	0.029689248634213072
C2H2O1-Cd3    	3272	radicals	-31.151048585381204	-30.668442521561474	0.4826060638197305	0.4826060638197305
C2H4O2-Fe6    	4233	radicals	-43.42422525788356	-43.38800535257087	0.03621990531269148	0.03621990531269148
C2H5O2-Ru5    	3647	radicals	-36.36465874002704	-36.20728963224201	0.15736910778502988	0.15736910778502988
C2H4O2-Zn3    	3789	radicals	-35.269805978779914	-35.201430476592236	0.06837550218767774	0.06837550218767774
C2H4O1-Pd5    	3895	radicals	-42.165122537539446	-42.14528448478859	0.01983805275085615	0.01983805275085615
C2H3O2-Rh5    	3497	radicals	-54.205852000980485	-54.24922565702673	-0.043373656046242104	0.043373656046242104
C2H4O1-Ni6    	4421	radicals	-39.10541129284081	-39.05202948430747	0.053381808533345065	0.053381808533345065
C1H2O1-Ir4    	3964	radicals	-54.17755248870708	-54.29844220011091	-0.12088971140383364	0.12088971140383364
S1-Fe7        	4270	radicals	-43.49784815848693	-43.560209619953184	-0.06236146146625288	0.06236146146625288
C2H2O2-Pt4    	3704	radicals	-46.76639134755965	-46.525509495681945	0.2408818518777025	0.2408818518777025
N1-Os4        	4059	radicals	-15.99058499029843	-15.888194862517025	0.10239012778140477	0.10239012778140477
H2O1-Pd2      	4114	radicals	-45.119392859766776	-45.14601396172475	-0.026621101957971405	0.026621101957971405
C1H3O1-Cu4    	3331	radicals	-21.309665644665017	-21.248123275826856	0.06154236883816111	0.06154236883816111
C2H3-Au1      	3017	radicals	-42.84570687827522	-42.8105848804621	0.0351219978131212	0.0351219978131212
H3N1-Co7      	4617	radicals	-3.927346845662896	-4.142569842098055	-0.21522299643515908	0.21522299643515908
H1-Ru1        	3606	radicals	-3.706773127620636	-3.6777527191873105	0.02902040843332543	0.02902040843332543
C2H2O1-Ag4    	3449	radicals	-46.44278784442122	-46.34059095466955	0.10219688975166719	0.10219688975166719
C2H2O1-Cu4    	3340	radicals	-11.393004266102935	-11.538980217399967	-0.14597595129703222	0.14597595129703222
C2H4O2-Fe8    	4200	radicals	-14.487224668006093	-15.427755172524826	-0.9405305045187333	0.9405305045187333
C2H4O2-Ni6    	4390	radicals	-20.393133331623062	-20.146773773147288	0.24635955847577407	0.24635955847577407
C1O1-Fe5      	4517	radicals	-26.47754858293507	-26.64640327611263	-0.16885469317755764	0.16885469317755764
C2H3O1-Pt4    	3740	radicals	-33.36309833956301	-33.253259871643536	0.10983846791947371	0.10983846791947371
H3N1-Ni1      	4635	radicals	-34.369232366451	-34.39880567226737	-0.02957330581637052	0.02957330581637052
C2H3O2-Cd2    	3224	radicals	-16.23043992007524	-16.284776876584147	-0.05433695650890513	0.05433695650890513
C1H1O2-Ir4    	3916	radicals	-28.74008177238582	-28.82943622042646	-0.08935444804063764	0.08935444804063764
H1S1-Ag4      	4543	radicals	-35.54120997463633	-35.52440457586238	0.01680539877395404	0.01680539877395404
C2H1O1-Rh4    	3524	radicals	-41.20438722237668	-41.13096623579622	0.0734209865804587	0.0734209865804587
C2H3O1-Ru4    	3620	radicals	-33.04025635200708	-32.7656382950438	0.274618056963277	0.274618056963277
C2H1-Pd5      	3852	radicals	-8.465279328074985	-8.706842639780007	-0.241563311705022	0.241563311705022
C2-Pt4        	3690	radicals	-3.095000454911087	-3.022352420449579	0.07264803446150836	0.07264803446150836
C2H2O2-Pt3    	3699	radicals	-23.011745646926272	-23.026242048426525	-0.014496401500252887	0.014496401500252887
C1H1O1-Cu4    	3334	radicals	-45.507698765074565	-45.722446948065226	-0.214748182990661	0.214748182990661
C2H5O1-Os3    	3182	radicals	-43.4325636760484	-43.31882298301821	0.11374069303019496	0.11374069303019496
C1O1-Ru3      	3607	radicals	-12.52750868232556	-12.711289879505784	-0.1837811971802239	0.1837811971802239
C2H2O2-Ir4    	3943	radicals	-10.454323325583118	-10.350306054718658	0.10401727086446044	0.10401727086446044
C2H4O1-Co7    	4345	radicals	-38.70392261027166	-38.741796475373576	-0.037873865101914816	0.037873865101914816
C1-Ag7        	3451	radicals	-32.397720184963305	-32.39106727565377	0.006652909309536881	0.006652909309536881
H3N1-Os1      	4603	radicals	-6.546241130744193	-6.527415803014492	0.018825327729700803	0.018825327729700803
H1O1-Ag3      	3465	radicals	-39.30761320097827	-39.237713878898944	0.0698993220793227	0.0698993220793227
C2H1O2-Au2    	3028	radicals	-35.91057934175649	-35.98840931032157	-0.07782996856508362	0.07782996856508362
C1H2-Os3      	3187	radicals	-30.83266448086232	-30.81004301175659	0.022621469105729375	0.022621469105729375
C2-Rh4        	3482	radicals	-42.75515001645363	-42.8739543345896	-0.1188043181359717	0.1188043181359717
C2H4O1-Ag2    	3443	radicals	-26.035821925715496	-26.137617057828805	-0.1017951321133097	0.1017951321133097
C2H4O1-Pt2    	3736	radicals	-49.761528752533195	-49.73441548514438	0.027113267388813256	0.027113267388813256
C2H1O2-Ni4    	4392	radicals	-25.882411929950962	-25.808524214374188	0.07388771557677387	0.07388771557677387
C1H1O1-Ru4    	3669	radicals	-32.98715966815843	-32.757234412566845	0.2299252555915814	0.2299252555915814
C2H3O1-Rh5    	3529	radicals	-23.188558444136163	-23.236193984646434	-0.04763554051027086	0.04763554051027086
O1-Os1        	4060	radicals	-21.43818076534029	-21.514027480738946	-0.0758467153986544	0.0758467153986544
O1-Pd4        	4115	radicals	-39.52630580595553	-39.532981588337975	-0.006675782382444595	0.006675782382444595
C2H6O1-Zn1    	3813	radicals	-43.067569375666835	-43.05397803799974	0.013591337667094194	0.013591337667094194
C2H4O1-Os4    	3169	radicals	-47.28580097441454	-47.33816138193356	-0.052360407519017826	0.052360407519017826
C1O1-Cu4      	4094	radicals	-35.652080491379934	-35.47427626476849	0.17780422661144257	0.17780422661144257
C1H3-Ag3      	3467	radicals	-39.18173952586051	-39.229907062497546	-0.04816753663703821	0.04816753663703821
C1H1O2-Zn2    	3755	radicals	-5.775906006825153	-5.8093906081087425	-0.033484601283589654	0.033484601283589654
S1-Ru7        	4024	radicals	-28.277646998327413	-28.321754958886658	-0.04410796055924493	0.04410796055924493
C2H4O2-Pt4    	3693	radicals	-10.841592844070192	-10.868307015773098	-0.026714171702906242	0.026714171702906242
C2H5-Fe6      	4171	radicals	-9.346443166225072	-8.873456412653013	0.47298675357205866	0.47298675357205866
C2H4O2-Pd5    	3871	radicals	-9.419632267169845	-9.429048085941304	-0.009415818771458362	0.009415818771458362
C2H2O2-Cd4    	3236	radicals	-45.90098942282293	-46.019017633933345	-0.1180282111104134	0.1180282111104134
C1H3O1-Fe5    	4491	radicals	-26.967842103549852	-26.72931705625624	0.23852504729361357	0.23852504729361357
C1H1-Fe5      	4499	radicals	-31.577795055890363	-31.62928983590882	-0.05149478001845864	0.05149478001845864
C2H6O2-Ru6    	3641	radicals	-25.871047956349088	-26.439923462501028	-0.5688755061519402	0.5688755061519402
C1H2O1-Pd4    	3880	radicals	-6.940748004989928	-6.906725492129681	0.034022512860246934	0.034022512860246934
H1O1-Au1      	3091	radicals	-20.497606092129047	-20.262020934082784	0.23558515804626268	0.23558515804626268
C2H1O1-Au3    	3082	radicals	-16.834327692444845	-16.894037454907107	-0.059709762462262006	0.059709762462262006
C2H2O2-Pd5    	3872	radicals	-50.22615500359416	-50.18582267751799	0.0403323260761681	0.0403323260761681
C2H4O1-Co6    	4351	radicals	-27.132261284566223	-27.099642853032766	0.032618431533457226	0.032618431533457226
C2H5O1-Pt3    	3721	radicals	-3.914296574479067	-3.7924730107192772	0.12182356375978998	0.12182356375978998
C2H3-Zn3      	3768	radicals	-16.77311540571054	-16.75730143633814	0.015813969372402426	0.015813969372402426
O2-Ag3        	3378	radicals	-22.28280053152372	-22.222851784885904	0.05994874663781502	0.05994874663781502
C2H3-Ni3      	4374	radicals	-41.201797044051546	-41.219511844655244	-0.017714800603698677	0.017714800603698677
H1S1-Pd4      	4639	radicals	-39.053165250686334	-39.1867897426132	-0.13362449192686654	0.13362449192686654
C2H1O1-Ir4    	3977	radicals	-39.105800923806896	-39.0645457875479	0.04125513625899657	0.04125513625899657
C2H2O1-Cd3    	3266	radicals	-5.050569315855455	-5.086095141714395	-0.03552582585894015	0.03552582585894015
C2H3O1-Ir4    	3993	radicals	-54.07625474733868	-54.04462996350048	0.03162478383819689	0.03162478383819689
H1S1-Ni5      	4629	radicals	-40.018631348307736	-40.05838238284139	-0.039751034533651364	0.039751034533651364
O1-Fe5        	4523	radicals	-28.048952057722104	-28.05787837301517	-0.008926315293066978	0.008926315293066978
H2N1-Ir4      	4602	radicals	-27.237367639050834	-26.778623908542077	0.4587437305087576	0.4587437305087576
C2H2-Cu3      	3299	radicals	-3.6794248196895296	-3.6603991553902233	0.0190256642993063	0.0190256642993063
C1H3-Rh4      	4129	radicals	-3.922221699878264	-3.9369267195779685	-0.01470501969970428	0.01470501969970428
C2H3O1-Ir5    	3972	radicals	-6.01594549863853	-6.186696931527877	-0.1707514328893467	0.1707514328893467
C2H3O2-Cu4    	3315	radicals	-26.45360944736636	-26.575034975291683	-0.12142552792532157	0.12142552792532157
C2H1-Ni4      	4377	radicals	-4.707727192221682	-4.695954658214077	0.011772534007604918	0.011772534007604918
C2H4O1-Au4    	3068	radicals	-26.630104067315298	-26.59312008305849	0.036983984256806934	0.036983984256806934
H2S1-Ir4      	4587	radicals	-43.62477951604501	-43.58602779817943	0.03875171786557985	0.03875171786557985
C2H2O2-Pd5    	3860	radicals	-27.37457465066958	-27.18592742905761	0.18864722161196923	0.18864722161196923
C2H3O1-Cu5    	3363	radicals	-32.55361161336583	-32.376782647259574	0.17682896610625676	0.17682896610625676
C2H2O2-Cu4    	3312	radicals	-33.43791576668082	-33.51516365497673	-0.07724788829591489	0.07724788829591489
C2H1O1-Ru4    	3626	radicals	-23.37039937375249	-23.49601316343842	-0.12561378968592862	0.12561378968592862
H2S1-Ag1      	4535	radicals	-39.92447316059315	-39.868201457606915	0.05627170298623696	0.05627170298623696
C1O2-Os4      	3106	radicals	-5.2530291376081095	-5.289548759048557	-0.036519621440447736	0.036519621440447736
H2S1-Rh5      	4584	radicals	-7.834214401457757	-7.839839599939751	-0.005625198481993721	0.005625198481993721
C2H3O2-Cd2    	3223	radicals	-21.32105051952317	-21.415756083534234	-0.09470556401106478	0.09470556401106478
C2H2O2-Cd3    	3217	radicals	-24.1465186245739	-24.113494048110084	0.0330245764638164	0.0330245764638164
C2H3-Fe5      	4184	radicals	-18.079092150982433	-18.37802034081335	-0.2989281898309173	0.2989281898309173
C2H2O1-Cu3    	3343	radicals	-26.76653861976925	-26.811786216397497	-0.045247596628247067	0.045247596628247067
C2H2-Au3      	3016	radicals	-43.65563608012417	-43.78734554374	-0.13170946361583447	0.13170946361583447
C1-Fe7        	4526	radicals	-15.62687789181291	-15.626747751915332	0.00013013989757837408	0.00013013989757837408
C1-Pd5        	4117	radicals	-12.339318503160712	-12.544485234782996	-0.20516673162228471	0.20516673162228471
C1H2O1-Ru4    	3587	radicals	-20.111877351156636	-21.05908403242114	-0.9472066812645039	0.9472066812645039
C1-Zn5        	4143	radicals	-22.87765698936471	-22.97869957766119	-0.10104258829647961	0.10104258829647961
C1H1-Ru4      	4135	radicals	-21.610221766305642	-21.550927268425653	0.059294497879989194	0.059294497879989194
C1H1O1-Fe6    	4487	radicals	-40.23274224016359	-40.1950568807315	0.03768535943208917	0.03768535943208917
C2H2O2-Co8    	4324	radicals	-14.613508480982887	-14.62028679783009	-0.006778316847203314	0.006778316847203314
C1O1-Zn1      	3830	radicals	-9.482872370126415	-9.480244332921984	0.002628037204431166	0.002628037204431166
H1S1-Co6      	4611	radicals	-36.40257992872807	-36.46024925534164	-0.0576693266135635	0.0576693266135635
C2H3-Ru5      	3569	radicals	-11.95637751653976	-12.136164601954306	-0.1797870854145458	0.1797870854145458
C1H2O1-Ni4    	4415	radicals	-36.83632279900371	-36.93660387171769	-0.10028107271398312	0.10028107271398312
C2H2O2-Ir4    	3942	radicals	-29.936021882166926	-30.45138258075383	-0.5153606985869033	0.5153606985869033
C2H4O2-Ir4    	3950	radicals	-31.510810867516795	-31.629416426536466	-0.11860555901967018	0.11860555901967018
C2H2O2-Rh5    	3495	radicals	-43.46876938428136	-43.36608821636537	0.10268116791598914	0.10268116791598914
C2H5O1-Cu3    	3350	radicals	-29.585412970009344	-29.58453590597233	0.0008770640370130423	0.0008770640370130423
C2H5O2-Fe7    	4220	radicals	-10.232112211011327	-10.467348357514084	-0.23523614650275704	0.23523614650275704
C1H2O2-Zn2    	3756	radicals	-14.543878903418545	-14.606234843798234	-0.062355940379688946	0.062355940379688946
H2S1-Pd2      	4590	radicals	-45.877731451309046	-45.863935044712434	0.013796406596611632	0.013796406596611632
H2S1-Fe5      	4624	radicals	-5.44414076029193	-4.876905904166961	0.5672348561249692	0.5672348561249692
S1-Cd7        	4068	radicals	-32.631885635035985	-32.63554059434131	-0.003654959305322336	0.003654959305322336
H3N1-Ag1      	4537	radicals	-24.19683465261096	-24.103496543432783	0.09333810917817686	0.09333810917817686
O1-Cd7        	4066	radicals	-18.066953647808305	-18.081050559259324	-0.014096911451019878	0.014096911451019878
H1-Ni4        	4463	radicals	-43.641410606228874	-43.71929263075299	-0.07788202452411497	0.07788202452411497
O1-Rh3        	3563	radicals	-27.97928619873177	-28.065117799181294	-0.08583160044952365	0.08583160044952365
C1O1-Os1      	3188	radicals	-36.11709952831359	-36.15819060942897	-0.04109108111538262	0.04109108111538262
C2H4O1-Ni4    	4446	radicals	-23.926589887751305	-23.7015689344818	0.22502095326950666	0.22502095326950666
C2O1-Ir3      	3991	radicals	-44.2555920501336	-44.17082759684422	0.08476445328938098	0.08476445328938098
C10H1O2-Co1   	4297	radicals	-23.180030731574846	-23.152386256785917	0.02764447478892862	0.02764447478892862
C2H2O1-Ag3    	3424	radicals	-35.259719742354264	-35.327132998026514	-0.06741325567224976	0.06741325567224976
C2H1O2-Zn4    	3777	radicals	-19.986709586392408	-20.023054899242766	-0.036345312850357914	0.036345312850357914
C1H3O1-Rh4    	3512	radicals	-22.75402448102858	-22.69425043734418	0.0597740436843992	0.0597740436843992
C1H2O1-Cd1    	3245	radicals	-15.51908419773872	-15.365536470582583	0.15354772715613763	0.15354772715613763
C2H2O1-Cd3    	3251	radicals	-27.083694455061615	-26.176496845184502	0.9071976098771124	0.9071976098771124
H2N1-Pd4      	4606	radicals	-43.7162055546371	-43.84933314877321	-0.13312759413611275	0.13312759413611275
C1H3O1-Cu3    	3330	radicals	-8.751713299011726	-8.748107240758827	0.003606058252898947	0.003606058252898947
C1-Ru6        	3603	radicals	-38.208358556286385	-38.24663388325416	-0.0382753269677778	0.0382753269677778
H1N1-Ir3      	4592	radicals	-11.972508554026263	-11.93516234705453	0.03734620697173341	0.03734620697173341
C2H6-Ru2      	3663	radicals	-25.870391834365464	-25.81651815617377	0.05387367819169242	0.05387367819169242
C1H2-Au4      	3094	radicals	-12.084632357419878	-12.227313008764895	-0.1426806513450174	0.1426806513450174
C1H1O1-Co6    	4338	radicals	-31.567605890636628	-31.836144442566365	-0.26853855192973697	0.26853855192973697
C1H2O1-Ir4    	3958	radicals	-30.42184082400354	-30.44892175359962	-0.02708092959608166	0.02708092959608166
C2H2O1-Rh5    	3540	radicals	-8.178496739958064	-8.143071871110578	0.03542486884748541	0.03542486884748541
C2H5O2-Zn3    	3784	radicals	-31.141313726679016	-31.032416604018692	0.10889712266032348	0.10889712266032348
C1O1-Ir3      	4000	radicals	-43.281013004775104	-43.24003550029761	0.04097750447749604	0.04097750447749604
H1S1-Pd4      	4637	radicals	-39.844886697774086	-39.91074537321526	-0.06585867544117718	0.06585867544117718
C2H2O1-Cu4    	3358	radicals	-46.32466183120596	-46.23270576830373	0.09195606290222713	0.09195606290222713
C2H2O1-Ir4    	3976	radicals	-48.24763104217027	-47.70736432773015	0.5402667144401221	0.5402667144401221
H1-Os4        	4106	radicals	-11.326538271139725	-11.135473972055024	0.1910642990847009	0.1910642990847009
